name,lat,lng,url

"St. Dreifaltigkeit Krodorf", 50.627232, 8.631432, "https://lh4.ggpht.com/35FTQrG3D6Eyu4xY9tSYzY9867qe3bvVxAfmYXhYLrVQMEf3qOvm9B7OFnpxpiFlFA7-iJl1NaSji7MUsY_dAw"
"Ev. Kirche", 50.623749, 8.633303, "https://lh6.ggpht.com/lAQA_FvFVgZmoZtzvgREkwqKhju3mfGNxt983mvRdP6VLpVP3gMTvmjDQiY_-oB4okAEOJwQQC1jg1kOHkI"
"Infotafel Einheimische Spechte", 50.620593, 8.723042, "https://lh3.googleusercontent.com/hrpKGa_m8F7AqJIOfih5emwauylVlI51jGSsO1MdbzQW-kHo3fOtAdWMWbdSuqXDZDkloyjQaKUOeV1aWRc"
"Infotafel Waldtiere", 50.618472, 8.725627, "https://lh3.googleusercontent.com/rFVw-ALlfw5yQoywgMM0rK9EkDGEyvKvpukM9jG6kq53oRVn4gwpHMqhwBm1VKBKjo84aWA_HdtcFqTCLhY"
"MIG 21 MF", 50.615933, 8.737542, "https://lh3.googleusercontent.com/p_5pGYJl7gnHik8DAJKaNj7O5YQYbNzcp7Vgtb-0Nz2r-rynSin1uEnARz_lopOeO8OXhrrNBsDSxMJtoPdt"
"Evangelische Kirche Buseck", 50.60787, 8.78694, "https://lh3.ggpht.com/31b7QtWot8XdVp3dbCb8PpNg9rLjXRvAXw7s5rBofu7eTqyDEpy56QcmEjCCPGTYGE3FLupmdFJXmUYlFYTSHNzqAy4YUaawXEdo5aN91E6Z2-_p"
"Vorschriften", 50.601413, 8.683744, "https://lh5.ggpht.com/Ksbp85fbO0GbWCdAWCF5T-I-RvZRS0s-pSzsPTPovM6X92IzAXWTfrvzL_cAz78NRY01oHAscUiIHX-0xJaY"
"Money in the Bank", 50.596498, 8.685807, "https://lh3.ggpht.com/OwfAffBrhLra4dvxR6Btjzyfb-TLYbGzDlQ34zghB9WSajAiv7ubJHRFbVtSxeEY_cAFGgsxc3Gp3HEG9qfh"
"Philosophenwald", 50.589729, 8.702575, "https://lh3.ggpht.com/3WHlkuY3f3KhWL6KcVui0pZVK13x7v6RfN4am0mqki2_IwwEe6kuDGCWCz_D3Icw6yIhBqLcGsh0mDhWWSA"
"Stolpersteine Landgrafenstrasse", 50.588957, 8.679478, "https://lh3.ggpht.com/6IawGTO0hpCO9KQxvlz9wSRfC72pIxQ14seLtEqJeAdVdarurmQs46dTeYtZ4GMnUGpfwFFlpeqVwfxFkDc"
